time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-01T02:36:28.751Z,57.1616,-156.4306,35,3,ml,14,132,1.146,0.17,us,us6000hz0k,2022-07-01T02:46:33.040Z,"70 km SE of Ugashik, Alaska",earthquake,3.8,2,0.069,28,reviewed,us,us
2022-07-01T02:32:54.010Z,19.2436666666667,-155.399333333333,32.68,2.77,ml,52,84,,0.13,hv,hv73061327,2022-07-01T03:05:46.660Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.42,0.52,0.126616428980382,29,reviewed,hv,hv
2022-07-01T02:29:58.210Z,18.5263333333333,-66.1445,77.45,2.84,md,8,224,,0.26,pr,pr71356863,2022-07-01T03:19:04.813Z,"7 km NNW of San Juan, Puerto Rico",earthquake,2.75,1.44,0.151120928465924,4,reviewed,pr,pr
2022-07-01T02:19:14.253Z,62.9768,-148.4975,4,3.2,ml,,,,0.8,ak,ak0228d13zzi,2022-07-01T02:29:41.040Z,"51 km SSE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-07-01T02:19:06.329Z,61.3554,-145.183,143.8,2.9,ml,,,,1.61,ak,ak0228d1446g,2022-07-01T02:21:45.313Z,"33 km S of Tonsina, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-07-01T02:13:57.562Z,6.8842,-73.0827,145.44,4.2,mb,30,130,0.985,1,us,us6000hz0g,2022-07-01T02:38:51.040Z,"12 km SSW of Piedecuesta, Colombia",earthquake,9.3,11.2,0.091,34,reviewed,us,us
2022-07-01T01:56:49.071Z,13.9847,-91.424,75.19,4.2,mb,29,211,1.049,0.92,us,us6000hz0d,2022-07-01T02:22:27.040Z,"27 km SSW of Nueva Concepción, Guatemala",earthquake,8.4,9.6,0.131,16,reviewed,us,us
2022-07-01T01:19:23.779Z,-5.23,146.0707,85.31,4.8,mb,46,52,6.159,0.66,us,us6000hz05,2022-07-01T01:36:49.040Z,"31 km E of Madang, Papua New Guinea",earthquake,10.9,7.6,0.075,55,reviewed,us,us
2022-07-01T00:02:49.670Z,19.2345,-155.394833333333,33.18,2.61,ml,50,141,,0.13,hv,hv73061232,2022-07-01T03:26:28.040Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.44,0.54,0.20321429308783,28,reviewed,hv,hv
2022-06-30T23:59:30.350Z,19.486,-66.3446666666667,8.49,3.35,md,15,254,,0.41,pr,pr71356838,2022-07-01T00:31:37.360Z,"112 km N of Brenas, Puerto Rico",earthquake,2.75,4.3,0.169292810372655,11,reviewed,pr,pr
2022-06-30T23:46:30.761Z,7.2873,-79.9921,10,4.4,mb,45,129,3.06,1.01,us,us6000hyzk,2022-07-01T00:26:33.040Z,"27 km S of Pedasí, Panama",earthquake,4.8,1.9,0.073,54,reviewed,us,us
2022-06-30T23:37:47.071Z,4.956,-76.0585,111.14,4.5,mb,63,93,1.335,0.65,us,us6000hyzh,2022-07-01T00:43:13.806Z,"5 km NNW of El Águila, Colombia",earthquake,6.4,5.2,0.049,121,reviewed,us,us
2022-06-30T22:09:38.710Z,-2.6884,110.2442,15,4.3,mb,24,107,4.336,0.79,us,us6000hyz4,2022-06-30T22:32:12.040Z,"91 km WSW of Manismata, Indonesia",earthquake,9.1,5.3,0.148,13,reviewed,us,us
2022-06-30T20:03:41.320Z,37.2981667,-120.0125,23.95,2.47,md,12,93,0.1375,0.17,nc,nc73752966,2022-06-30T22:49:11.154Z,"21km S of Mariposa, CA",earthquake,0.5,0.63,0.187,35,reviewed,nc,nc
2022-06-30T19:29:08.420Z,18.5928,-68.4653,94,3.69,md,16,224,0.1152,0.1,pr,pr2022181000,2022-06-30T21:05:44.845Z,"6 km W of Punta Cana, Dominican Republic",earthquake,11.73,1.44,0.17,15,reviewed,pr,pr
2022-06-30T18:47:33.596Z,56.9433,-156.6495,3.2,3.2,ml,,,,0.95,ak,ak0228bn9rin,2022-06-30T18:51:54.567Z,"77 km SE of Ugashik, Alaska",earthquake,,5.1,,,automatic,ak,ak
2022-06-30T18:40:37.677Z,19.0453,121.3066,35.38,6,mww,143,26,3.759,1.12,us,us6000hywe,2022-07-01T02:45:16.139Z,"50 km NNE of Namuac, Philippines",earthquake,8.1,3.9,0.042,55,reviewed,us,us
2022-06-30T18:16:39.760Z,18.1758333333333,-67.1696666666667,102.46,3.08,md,6,146,,0.39,pr,pr71356808,2022-06-30T18:48:42.160Z,"4 km SW of Mayagüez, Puerto Rico",earthquake,3.54,2.27,0.0249832880267993,2,reviewed,pr,pr
2022-06-30T17:48:11.909Z,38.2083,-117.7791,7.7,3.9,ml,19,90.93,0.143,0.1446,nn,nn00842016,2022-07-01T02:40:44.023Z,"35 km SE of Mina, Nevada",earthquake,,2.5,0.16,8,reviewed,nn,nn
2022-06-30T17:40:15.952Z,-8.0499,128.779,74.99,4.7,mb,34,60,2.496,0.99,us,us6000hyw3,2022-06-30T21:27:08.040Z,"202 km ENE of Lospalos, Timor Leste",earthquake,8.9,1.3,0.088,39,reviewed,us,us
2022-06-30T16:22:49.964Z,54.6539,-161.3921,26.83,4,mb,13,173,0.743,0.63,us,us6000hyvi,2022-06-30T17:52:45.244Z,"74 km SE of King Cove, Alaska",earthquake,6.2,9.2,0.156,12,reviewed,us,us
2022-06-30T16:22:03.090Z,19.1973333333333,-155.409833333333,33.43,3.18,ml,53,158,,0.12,hv,hv73060967,2022-06-30T22:26:20.628Z,"7 km E of Pāhala, Hawaii",earthquake,0.44,0.52,0.182105928418273,35,reviewed,hv,hv
2022-06-30T16:14:33.508Z,0.066,123.7162,119.69,4.3,mb,30,69,1.45,0.73,us,us6000hyvg,2022-06-30T17:22:11.040Z,"89 km SE of Gorontalo, Indonesia",earthquake,8.4,8.2,0.113,22,reviewed,us,us
2022-06-30T14:35:11.804Z,54.7936,-156.2114,33.37,3.3,ml,24,234,1.955,0.49,us,us6000hytx,2022-06-30T16:03:27.040Z,"216 km SE of Chignik, Alaska",earthquake,9.9,14.8,0.077,22,reviewed,us,us
2022-06-30T10:14:04.179Z,31.65342795,-104.4598365,6.362939453,2.5,ml,12,72,0.03806524132,0.2,tx,tx2022mrqv,2022-06-30T18:28:14.098Z,"58 km S of Whites City, New Mexico",earthquake,1.371316501,1.433685793,0.2,6,reviewed,tx,tx
2022-06-30T09:06:59.153Z,31.59768044,-103.9986035,7.93112793,2.6,ml,16,53,0.13748035,0.2,tx,tx2022mrop,2022-06-30T15:27:24.486Z,"36 km NNW of Toyah, Texas",earthquake,0.9677005151,1.590337552,0.2,8,reviewed,tx,tx
2022-06-30T08:57:44.135Z,1.4397,125.9617,90.07,4.6,mb,24,141,1.553,0.59,us,us6000hyr9,2022-06-30T09:20:22.040Z,"109 km E of Laikit, Laikit II (Dimembe), Indonesia",earthquake,7.8,5.8,0.146,16,reviewed,us,us
2022-06-30T07:59:44.636Z,58.3522,-133.3162,0,2.6,ml,,,,0.73,ak,ak0228bgslb3,2022-06-30T08:12:20.040Z,"64 km E of Juneau, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-06-30T07:31:03.318Z,-52.3978,27.9756,10,4.6,mb,27,107,19.147,0.57,us,us6000hyqu,2022-06-30T07:58:06.040Z,"south of Africa",earthquake,8.9,1.8,0.116,26,reviewed,us,us
2022-06-30T06:37:19.455Z,-18.6543,-69.351,134.3,4.3,mb,24,127,0.35,0.61,us,us6000hyql,2022-06-30T07:14:13.040Z,"101 km E of Arica, Chile",earthquake,4.1,8,0.168,10,reviewed,us,us
2022-06-30T06:26:51.974Z,20.5119,119.2739,10,4.5,mb,21,128,2.843,0.29,us,us6000hyqi,2022-06-30T06:53:16.040Z,"224 km SW of Hengchun, Taiwan",earthquake,5.7,2,0.181,9,reviewed,us,us
2022-06-30T06:19:33.928Z,59.3387,-152.7692,75.4,2.6,ml,,,,0.32,ak,ak0228bfyk1r,2022-06-30T10:37:07.949Z,"48 km W of Nanwalek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-30T06:07:13.977Z,43.4894,17.6111,47.97,4.5,mb,101,20,1.296,0.65,us,us6000hyqe,2022-06-30T14:49:13.369Z,"11 km N of Široki Brijeg, Bosnia and Herzegovina",earthquake,5.4,6.9,0.052,109,reviewed,us,us
2022-06-30T05:21:17.204Z,-17.0429,-70.1237,153.57,5.1,mww,97,90,0.82,1.54,us,us6000hyq6,2022-06-30T20:29:22.040Z,"27 km ENE of Pujocucho, Peru",earthquake,7,2.4,0.055,32,reviewed,us,us
2022-06-30T05:14:55.285Z,30.8557,131.3582,19.99,4.6,mb,52,89,1.013,0.52,us,us6000hyq7,2022-06-30T06:00:45.040Z,"36 km ENE of Nishinoomote, Japan",earthquake,6.2,5,0.08,47,reviewed,us,us
2022-06-30T05:07:26.260Z,37.4365,-118.4985,5,2.58,md,34,52,0.05585,0.06,nc,nc73752786,2022-07-01T02:39:50.247Z,"9km ENE of Round Valley, CA",earthquake,0.18,0.56,0.179,55,reviewed,nc,nc
2022-06-30T04:30:30.370Z,37.262,-121.6373333,6.25,2.68,md,96,42,0.02871,0.08,nc,nc73752776,2022-07-01T01:01:18.749Z,"15km N of Morgan Hill, CA",earthquake,0.1,0.21,0.123,125,reviewed,nc,nc
2022-06-30T04:24:25.569Z,31.68400918,-104.4235215,5.334619141,2.7,ml,16,58,0.06763674073,0.3,tx,tx2022mrfh,2022-06-30T15:03:15.734Z,"54 km S of Whites City, New Mexico",earthquake,1.395450122,1.616687996,0.2,12,reviewed,tx,tx
2022-06-30T03:59:00.781Z,39.2973,141.8461,59.9,4.5,mb,24,184,1.606,0.57,us,us6000hypy,2022-06-30T04:27:25.040Z,"2 km NW of Kamaishi, Japan",earthquake,9.9,9.2,0.171,10,reviewed,us,us
